# m1 m2 a1x a1y a1z a2x a2y a2z mc eta indx  Npts ra dec tref phiorb incl psi  dist p ps lnL mtotal q  lambda1 lambda2
88.415334 52.295426 0.0 0.0 0.61025313 0.0 0.0 0.078871515 58.7935002396 0.233526773792 72 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 140.71076 0.591474619097 0.0 0.0
56.115855 52.232503 0.0 0.0 0.016446372 0.0 0.0 0.34424115 47.1250025305 0.249678849312 73 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 108.348358 0.930797597221 0.0 0.0
90.672382 29.492222 0.0 0.0 0.092387428 0.0 0.0 0.47105578 43.6871988813 0.18519506097 74 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 120.164604 0.32526135687 0.0 0.0
71.340243 36.936508 0.0 0.0 0.2249677 0.0 0.0 0.033257062 44.214753506 0.224760498969 75 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 108.276751 0.517751362299 0.0 0.0
72.404412 41.64752 0.0 0.0 0.10210795 0.0 0.0 0.34803529 47.4451666622 0.231818922794 76 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 114.051932 0.575206936284 0.0 0.0
82.574599 42.098482 0.0 0.0 0.65748351 0.0 0.0 -0.4276126 50.759017507 0.223649290722 77 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 124.673081 0.509823632325 0.0 0.0
72.686748 41.22282 0.0 0.0 0.41970796 0.0 0.0 -0.066225745 47.2763262723 0.2309258375 78 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 113.909568 0.567129788225 0.0 0.0
88.979421 34.714829 0.0 0.0 0.53565299 0.0 0.0 -0.32062526 47.3601273054 0.201885711342 79 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 123.69425 0.390144469472 0.0 0.0
83.918088 40.420685 0.0 0.0 0.33335802 0.0 0.0 0.02136191 50.0442556692 0.21940478492 80 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 124.338773 0.48166832638 0.0 0.0
70.823444 36.279122 0.0 0.0 0.033026832 0.0 0.0 0.26667948 43.6455841779 0.223992799655 81 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 107.102566 0.512247356963 0.0 0.0
97.974276 34.592511 0.0 0.0 0.46544429 0.0 0.0 0.21541656 49.3820988235 0.192852240885 82 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 132.566787 0.35307748536 0.0 0.0
71.690025 41.014277 0.0 0.0 0.10205102 0.0 0.0 0.28743017 46.8433748543 0.231479643418 83 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 112.704302 0.572105770642 0.0 0.0
79.89554 24.782424 0.0 0.0 0.029693921 0.0 0.0 -0.6627839 37.4997815889 0.180699015119 84 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 104.677964 0.310185324487 0.0 0.0
82.17889 38.14854 0.0 0.0 0.1977043 0.0 0.0 0.24409209 48.0474105875 0.216525430371 85 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 120.32743 0.464213376452 0.0 0.0
74.311026 46.802648 0.0 0.0 0.30713083 0.0 0.0 -0.015420488 51.0687907015 0.237103150906 86 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 121.113674 0.629821044323 0.0 0.0
86.20019 37.325633 0.0 0.0 0.43002559 0.0 0.0 -0.23677193 48.5464739589 0.210862762799 87 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 123.525823 0.433011029326 0.0 0.0
81.175125 32.733773 0.0 0.0 0.27881228 0.0 0.0 -0.082716318 43.9885746008 0.204787635561 88 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 113.908898 0.403248815447 0.0 0.0
72.989295 60.489784 0.0 0.0 0.16828846 0.0 0.0 0.75723784 57.7939105262 0.247807701675 89 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 133.479079 0.828748708972 0.0 0.0
60.777936 41.878092 0.0 0.0 -0.18587772 0.0 0.0 0.33044879 43.7686155087 0.241526018044 90 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 102.656028 0.689034454872 0.0 0.0
72.978293 49.689039 0.0 0.0 0.87429236 0.0 0.0 -0.5506438 52.2308140967 0.24098857807 91 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 122.667332 0.680874229273 0.0 0.0
